feature,importance_mean,importance_std
complaints_count,0.19422245322245324,0.020398463344238567
delivery_delay_days,0.13182536382536383,0.015667773476002945
resolution_time_days,0.02510602910602907,0.006032733871604403
customer_service_contacts,0.002224532224532172,0.001400050075453905
delivery_attempts,0.0005696465696464981,0.0005010524407193458
customer_region,0.0005571725571725472,0.0008858500756087027
freight_value,0.00015592515592509625,0.0008544799712084217
customer_tenure_months,-5.197505197502838e-05,0.0008661358204962733
customer_age,-6.860706860707388e-05,7.613236350769662e-05
discount_value,-0.00023700623700633193,0.0005036336944024951
delivery_time_days,-0.0005821205821205933,0.0002871733330533399
payment_installments,-0.0006174636174636316,0.0003911674317536862
items_quantity,-0.0006756756756757132,0.00047692597700432575
order_value,-0.00232224532224532,0.0011646884350236786
